DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,WEATHER,IS_HOLIDAY,IS_PEAK_HOUR,IS_WEEKEND,SEASON
2024-11-01 01:00:00,40.9982299804688,28.8446044921875,sxk90r,4.0,61.0,,49.0,Sunny,0.0,0.0,1.0,Winter
2024-08-01 01:00:00,41.1630249023438,28.1304931640625,,72.0,,98.0,23.0,Snowy,1.0,0.0,,Winter
2024-05-01 01:00:00,41.1795043945313,29.1961669921875,sxkf22,81.0,84.0,82.0,1.0,,,0.0,1.0,Winter
2024-12-01 01:00:00,41.2069702148438,,sxkdkt,72.0,84.0,76.0,2.0,Sunny,0.0,0.0,1.0,Winter
2024-02-01 02:00:00,41.1520385742188,29.6246337890625,sxm445,77.0,86.0,81.0,1.0,Snowy,0.0,0.0,,Winter
2024-10-01 02:00:00,41.0971069335938,27.9876708984375,sx7cuc,55.0,112.0,87.0,8.0,Rainy,0.0,0.0,1.0,Winter
2024-10-01 00:00:00,41.0916137695313,27.9986572265625,sx7cv0,,112.0,57.0,23.0,Snowy,0.0,0.0,1.0,
2024-11-01 00:00:00,41.0916137695313,29.0093994140625,sxk9u0,6.0,112.0,49.0,145.0,Snowy,0.0,0.0,1.0,Winter
2024-05-01 00:00:00,41.0641479492188,29.0643310546875,sxk9t7,11.0,54.0,28.0,13.0,Sunny,0.0,0.0,1.0,Winter
2024-03-01 02:00:00,40.9597778320313,29.3280029296875,,440.0,1270.0,78.0,19.0,Sunny,0.0,0.0,1.0,Winter
2024-03-01 02:00:00,40.9927368164063,,sxkc0y,,89.0,58.0,29.0,Snowy,0.0,0.0,,Winter
2024-09-01 00:00:00,41.0696411132813,28.0975341796875,sx7cxk,,122.0,,18.0,Rainy,0.0,0.0,1.0,Winter
2024-10-01 01:00:00,40.9103393554688,29.3170166015625,sxkbep,9.0,76.0,36.0,92.0,Cloudy,0.0,0.0,1.0,Winter
2024-01-01 00:00:00,40.9927368164063,28.8775634765625,sxk91n,4.0,41.0,18.0,19.0,Snowy,0.0,0.0,1.0,Winter
2024-02-01 02:00:00,41.0256958007813,27.9986572265625,sx7cmh,,113.0,72.0,11.0,Rainy,0.0,0.0,,Winter
2024-09-01 00:00:00,40.9378051757813,,sxk8zh,3.0,119.0,57.0,284.0,Sunny,0.0,0.0,1.0,Winter
2024-12-01 02:00:00,41.1685180664063,28.5260009765625,sxk61n,75.0,155.0,93.0,22.0,Snowy,0.0,0.0,1.0,Winter
2024-08-01 00:00:00,40.9982299804688,28.6248779296875,sxk35r,3.0,92.0,,,Snowy,0.0,0.0,1.0,Winter
2024-12-01 00:00:00,41.0971069335938,27.9656982421875,sx7cu3,60.0,120.0,81.0,24.0,Rainy,,0.0,1.0,Winter
2024-03-01 00:00:00,41.0531616210938,28.7237548828125,sxk3t9,4.0,,65.0,306.0,Sunny,0.0,0.0,1.0,Winter
2024-02-01 01:00:00,41.0366821289063,28.4271240234375,sxk1qy,38.0,87.0,63.0,,Cloudy,0.0,0.0,1.0,Winter
2024-02-01 01:00:00,41.2344360351563,29.0313720703125,sxkdsd,39.0,59.0,50.0,,Snowy,0.0,0.0,1.0,Winter
2024-08-01 01:00:00,41.0531616210938,29.1522216796875,sxk9x3,98.0,120.0,109.0,10.0,Rainy,0.0,0.0,1.0,Winter
2024-10-01 00:00:00,,,sxk9hw,72.0,62.0,27.0,85.0,Rainy,,0.0,1.0,Winter
2024-11-01 02:00:00,41.0476684570313,29.2291259765625,sxkc90,80.0,131.0,99.0,19.0,Sunny,0.0,0.0,1.0,Winter
2024-09-01 00:00:00,40.9762573242188,28.8885498046875,sxk917,180.0,1010.0,53.0,84.0,Rainy,0.0,0.0,1.0,Winter
